source_table,row_id,subject,english,thai,matt_status,matt_correction
subjects,2e1df761-35cd-431e-b865-c72e51ccfae8,ABCs,ABCs,ตัวอักษร ABC,,
subjects,d2da9a60-a111-49c7-bc26-2e1c40034275,Phonics Sounds,Phonics Sounds,เสียงโฟนิกส์,,
subjects,d2a9ea4e-761f-43a3-93ad-76a40f34b861,Numbers & Counting,Numbers & Counting,ตัวเลขและการนับ,,
subjects,57a4fa51-0b1f-4d70-afd1-1536caa7870e,Colors,Colors,สี,,
subjects,18bdc47e-4c34-4fa1-911c-180c78c7333a,Shapes,Shapes,รูปทรง,,
subjects,b5058f0f-ab0b-4ff9-9e38-377c3299d5fd,Animals,Animals,สัตว์,,
subjects,583add2b-fc29-4e0a-a835-75e209f9d5e7,Plants,Plants,พืช,,
subjects,b2d3f5a5-b9d8-4e79-92d4-49a7733391f6,Food & Drink,Food & Drink,อาหารและเครื่องดื่ม,,
subjects,712ad465-90b2-49a2-ab54-79658dbed8a0,Body Parts,Body Parts,อวัยวะร่างกาย,,
subjects,f5822015-e9d8-46f7-8d73-09f9f83f2f7d,Five Senses,Five Senses,ประสาทสัมผัสทั้งห้า,,
subjects,7f3dfefe-a81b-497f-90da-20a5f6016ce9,Feelings & Emotions,Feelings & Emotions,ความรู้สึกและอารมณ์,,
subjects,80894577-e8a9-40a2-b498-201e48fb568c,Jobs & Careers,Jobs & Careers,อาชีพ,,
subjects,4ba37094-a056-4d8d-b74d-535fcd4aa967,Vehicles,Vehicles,ยานพาหนะ,,
subjects,edeb3f17-da16-4957-a039-6904522db2b8,Buildings,Buildings,อาคาร,,
subjects,f73a611f-2e2e-44a3-9338-b913cb84fe35,Around the House,Around the House,รอบบ้าน,,
subjects,dab0aea9-eef0-4f0d-9650-2bff3a658489,At School,At School,ที่โรงเรียน,,
subjects,7ffa2be3-1bb4-4312-aac9-579335be132e,Phonics Blending,Phonics Blending,การผสมเสียง,,
subjects,7ec5b8f5-dd6a-4ece-8b35-85a2615ee912,Prepositions,Prepositions,คำบุพบท,,
subjects,c2caf914-19fc-433d-8a75-957a5b23b329,Common Verbs,Common Verbs,คำกริยาทั่วไป,,
subjects,c1480ed9-def5-4c7f-920b-a7100bc9f8a5,Hobbies,Hobbies,งานอดิเรก,,
subjects,a85a202d-b1de-42ae-9c19-c93cdd9ff506,Rhyming Words,Rhyming Words,คำคล้องจอง,,
subjects,7565e059-ef32-4c8d-9419-2f80b2740655,Comparisons,Comparisons,การเปรียบเทียบ,,
subjects,e55b9b51-dc87-4e05-ab07-fa4b87fcb6cc,Adjectives,Adjectives,คำคุณศัพท์,,
subjects,295f5ab2-f9bc-4f93-b060-9f2f37b30f49,Subject & Verb,Subject & Verb,ประธานและกริยา,,
subjects,74ec4ac0-c389-4322-9bc5-04b87e80e06a,Past/Present/Future Tense,Past/Present/Future Tense,กาล,,
subjects,eeff90da-e133-4017-baf9-f3decf6cc8fd,Read-Along Stories,Read-Along Stories,อ่านนิทาน,,
subjects,3cbc9f7a-d7d0-44c1-84c1-322a05a68bc5,Polite Words,Polite Words,คำสุภาพ,,
subjects,94d5aa73-d947-408d-af2b-60cf0c12768d,Idioms 1,Idioms 1,สำนวน 1,,
subjects,ca8ceacc-7746-4136-9428-87d5141d22da,Question Words,Question Words,คำแสดงคำถาม,,
subjects,a2d16b73-8480-43fb-aa99-390e1bea50ec,Synonyms & Antonyms,Synonyms & Antonyms,คำพ้องและคำตรงข้าม,,
subjects,35330063-dafe-4565-9e5b-c1310d57e9dd,Pronouns,Pronouns,คำสรรพนาม,,
subjects,ba3ecb68-536b-42ff-8eb7-5dffb198db39,Articles,Articles,คำนำหน้านาม,,
subjects,e894df44-e176-420e-98c8-da28d2d88629,Countable & Uncountable,Countable & Uncountable,นามนับได้และนับไม่ได้,,
subjects,c99289a7-d184-420b-a380-15dabe8cf6f6,Modals & Requests,Modals & Requests,กริยาช่วยและการขอร้อง,,
subjects,60a9eafb-6681-4010-9c1c-db6b2229a509,Family Members,Family Members,สมาชิกในครอบครัว,,
subjects,ec1bbd78-7b2b-4024-becf-76eb88d24aa0,Weather,Weather,สภาพอากาศ,,
subjects,bff57d56-a3c1-43cd-9505-4fc85dfe4d6e,Clothing,Clothing,เสื้อผ้า,,
